,University_name,Region,Founded_year,Motto,UK_rank,World_rank,CWUR_score,Minimum_IELTS_score,UG_average_fees_(in_pounds),PG_average_fees_(in_pounds),International_students,Student_satisfaction,Student_enrollment,Academic_staff,Control_type,Academic_Calender,Campus_setting,Estimated_cost_of_living_per_year_(in_pounds),Latitude,Longitude,Website
126,University of East London,London,1992.0,Science and fulfillment of vows,127,971,,4.5,10700,11700,6.90%,76.10%,"10,000-14,999",900-999,Public,Semesters,Suburban,10229,51.5076,0.0651,www.uel.ac.uk
127,University of Bedfordshire,East of England,9999.0,,128,1281,,4.5,9750,9900,11.70%,77.40%,"10,000-14,999",500-599,Public,Semesters,Urban,9415,51.8779,-0.4093,www.beds.ac.uk
128,University of Suffolk,East of England,2007.0,Honesty and diligence,129,4030,,4.5,9495,9495,2.50%,76.00%,"7,000-7,999",200-299,Public,,,9415,52.0523,1.1629,www.ucs.ac.uk/
129,Wrexham Glyndwr University,Wales,2008.0,Confidence through Education,130,2397,,4.5,10250,10500,23.00%,74.30%,"5,000-5,999",200-299,Public,,Urban,7771,53.0526,-3.0062,www.glyndwr.ac.uk/
130,Ravensbourne University London,London,1962.0,Designed for industry,131,2759,,5.5,9250,9250,15.59%,66.10%,"2,000-2,999",100-199,Public,Semesters,Urban,10229,51.5017,0.0055,www.ravensbourne.ac.uk
131,University of Cambridge,East of England,1209.0,"From here, light and sacred draughts",1,4,94.1,6.5,21750,23187,20.20%,85.50%,"20,000-24,999","over-5,000",Public,Trimesters,Urban,12000,52.2054,0.1132,www.cam.ac.uk
132,University of Bath,South West England,9999.0,Learn each field of study according to its kind,11,261,74.8,5.5,14300,15000,21.70%,81.80%,"15,000-19,999","1,000-1,499",Public,Semesters,Suburban,11000,51.3782,-2.3264,www.bath.ac.uk
133,University of Nottingham,East Midlands,1948.0,A city is built on wisdom,21,143,80.4,5.5,14140,14420,18.20%,78.00%,"30,000-34,999","3,000-3,499",Public,Semesters,Suburban,9840,52.9388,-1.1981,www.nottingham.ac.uk
134,Swansea University,Wales,,Technical skill is bereft without culture,31,422,73.4,4.5,13800,15050,15.40%,81.50%,"20,000-24,999","1,000-1,499",Public,Trimesters,Suburban,7500,51.6092,-3.98,www.swan.ac.uk
135,University of Leicester,East Midlands,1957.0,So that they may have life,41,167,77.7,4.5,14000,13500,22.20%,78.00%,"15,000-19,999","1,500-1,999",Public,Semesters,Suburban,7650,52.6211,-1.1246,www2.le.ac.uk
136,University of Lincoln,East of England,1992.0,Excellence through study,51,877,68.4,4.5,12800,15700,9.40%,79.30%,"15,000-19,999","1,000-1,499",Public,Semesters,Urban,9415,53.2279,-0.5502,www.lincoln.ac.uk
137,University of Huddersfield,Yorkshire and the Humber,1992.0,"For You, But Not Yours",61,1111,68.1,4.5,12000,12500,14.20%,78.30%,"15,000-19,999",900-999,Public,Continuous,Urban,8270,53.6428,-1.7781,www.hud.ac.uk
138,University of Chichester,South East England,2005.0,"By teaching, we learn",71,2585,,4.5,10250,10250,2.40%,79.90%,"5,000-5,999",500-599,Public,,Suburban,8990,50.845,-0.7729,www.chiuni.ac.uk
139,York St John University,Yorkshire and the Humber,1841.0,They may have life and have it more abundantly,81,2643,,5.5,10000,10000,8.70%,0%,"6,000-6,999",300-399,Public,,Urban,8000,53.9663,-1.0829,www.yorksj.ac.uk/
140,University of Derby,East Midlands,1992.0,Experience Teaches,91,1140,,4.5,10900,11440,8.00%,78.60%,"15,000-19,999","1,000-1,499",Public,Other,Urban,10500,52.9379,-1.4972,www.derby.ac.uk
141,Edinburgh Napier University,Scotland,1992.0,"Without knowledge, everything is in vain",101,676,66.2,4.5,11250,12000,16.60%,75.90%,"10,000-14,999",800-899,Public,Trimesters,Urban,8000,55.9332,-3.2142,www.napier.ac.uk
142,,North West England,1967.0,Let us seek higher things,111,680,67.7,4.5,11795,12000,11.10%,76.80%,"20,000-24,999","1,000-1,499",Public,Semesters,Urban,7471,53.4872,-2.2737,www.salford.ac.uk
143,University of Cumbria,North West England,9999.0,,121,2333,,4.5,10500,10500,1.50%,73.80%,"7,000-7,999",400-499,Public,,,6000,54.8909,-2.9222,www.cumbria.ac.uk
144,Ravensbourne University London,London,1962.0,Designed for industry,131,2759,,5.5,9250,9250,15.59%,66.10%,"2,000-2,999",100-199,Public,Semesters,Urban,10229,51.5017,0.0055,www.ravensbourne.ac.uk
